model,question_id,query,query_language,correct_chunk_id,top_1_id,top_1_function,top_1_category,top_1_score,top_2_id,top_2_function,top_2_category,top_2_score,top_3_id,top_3_function,top_3_category,top_3_score,hit_at_3
MiniLM multilingual,q_01,"как проверить, истёк ли токен?",ru,func_001,func_003,check_password,auth,0.26678258180618286,func_005,validate_credentials,auth,0.25237417221069336,func_071,validate_inn,validation,0.25235113501548767,False
MiniLM multilingual,q_02,where is password hashing implemented,en,func_002,func_102,hashPassword,auth,0.47544097900390625,func_002,hash_password,auth,0.45412304997444153,func_117,resetPassword,auth,0.4423016905784607,True
MiniLM multilingual,q_03,проверка двухфакторной аутентификации по коду,ru,func_014,func_003,check_password,auth,0.5799959301948547,func_014,validate_2fa_code,auth,0.5740114450454712,func_105,validateCredentials,auth,0.5474832057952881,True
MiniLM multilingual,q_04,logout user and clear session,en,func_010,func_010,logout_user,auth,0.7260977625846863,func_110,logoutUser,auth,0.6329799294471741,func_111,loginWithOauth,auth,0.43346109986305237,True
MiniLM multilingual,q_05,проверить права администратора на эндпоинте,ru,func_109,func_009,require_admin,auth,0.4110371768474579,func_109,requireAdmin,auth,0.401643306016922,func_105,validateCredentials,auth,0.30239012837409973,True
MiniLM multilingual,q_06,получить пользователя по электронной почте,ru,func_022,func_022,get_user_by_email,database,0.5071866512298584,func_122,getUserByEmail,database,0.42924001812934875,func_097,send_email,utils,0.42854201793670654,True
MiniLM multilingual,q_07,rollback transaction in case of error,en,func_036,func_136,rollbackTransaction,database,0.6066609621047974,func_036,rollback_transaction,database,0.5979748964309692,func_133,restoreFromBackup,database,0.4101906716823578,True
MiniLM multilingual,q_08,массовая вставка большого количества записей,ru,func_140,func_127,countUsers,database,0.1773465871810913,func_040,bulk_insert_records,database,0.13889165222644806,func_188,formatDuration,utils,0.1329096257686615,False
MiniLM multilingual,q_09,soft delete a record without removing it,en,func_029,func_029,soft_delete_post,database,0.4604176878929138,func_129,softDeletePost,database,0.4209471344947815,func_125,deleteUser,database,0.32915711402893066,True
MiniLM multilingual,q_10,пагинация при выборке списка пользователей,ru,func_026,func_027,count_users,database,0.535172164440155,func_026,list_users_paginated,database,0.4674290716648102,func_127,countUsers,database,0.46045589447021484,True
MiniLM multilingual,q_11,"обработка ситуации, когда сервер вернул 429",ru,func_047,func_047,handle_rate_limit,http,0.4671252369880676,func_147,handleRateLimit,http,0.4401998221874237,func_133,restoreFromBackup,database,0.4401240944862366,True
MiniLM multilingual,q_12,send file via http multipart upload,en,func_152,func_052,upload_file_multipart,http,0.5839318633079529,func_152,uploadFileMultipart,http,0.5025768280029297,func_049,proxy_request,http,0.3868967890739441,True
MiniLM multilingual,q_13,отправка уведомления через webhook,ru,func_046,func_146,sendWebhook,http,0.4826737642288208,func_046,send_webhook,http,0.44210556149482727,func_198,logEvent,utils,0.3835226893424988,True
MiniLM multilingual,q_14,retry http request with exponential backoff,en,func_044,func_044,retry_request,http,0.6122806668281555,func_144,retryRequest,http,0.5467963814735413,func_047,handle_rate_limit,http,0.5057962536811829,True
MiniLM multilingual,q_15,проксирование запроса на другой сервер,ru,func_149,func_049,proxy_request,http,0.46241188049316406,func_060,broadcast_to_servers,http,0.4159337282180786,func_149,proxyRequest,http,0.40908610820770264,True
MiniLM multilingual,q_16,проверка номера банковской карты,ru,func_066,func_066,validate_credit_card,validation,0.5259025692939758,func_166,validateCreditCard,validation,0.43110761046409607,func_062,validate_phone,validation,0.3829838037490845,True
MiniLM multilingual,q_17,check email format validity,en,func_061,func_161,validateEmail,validation,0.5910696983337402,func_061,validate_email,validation,0.580697774887085,func_166,validateCreditCard,validation,0.46850475668907166,True
MiniLM multilingual,q_18,проверить корректность ИНН,ru,func_071,func_171,validateInn,validation,0.4569168984889984,func_071,validate_inn,validation,0.4530525505542755,func_079,validate_iban,validation,0.4070456027984619,True
MiniLM multilingual,q_19,remove emoji characters from text,en,func_174,func_074,strip_emoji,validation,0.5785766243934631,func_174,stripEmoji,validation,0.5333402752876282,func_064,sanitize_html,validation,0.3269224166870117,True
